From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,civil,0.521,0.517,0.281
From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,collective,0.583,0.698,0.458
From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,future,0.888,0.786,0.644
From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,good,0.938,0.534,0.368
From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,hard,0.302,0.616,0.708
From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,keep,0.714,0.547,0.296
From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,people,0.604,0.500,0.400
From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,today,0.806,0.362,0.306
From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,work,0.719,0.750,0.596
From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,young,0.812,0.537,0.520
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,antidote,0.541,0.629,0.490
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,can,0.662,0.454,0.360
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,can,opener,0.491,0.444
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,early,0.633,0.426,0.373
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,government,0.427,0.850,0.530
The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,important,0.827,0.836,0.630
